DATE,COUNTRY_CODE,CAMPAIGN_ID,TOTAL_SPEND_EUR,NB_OF_SESSIONS,NB_OF_SIGNUPS,NB_OF_ORDERS,NB_OF_POSLITE_ITEMS_ORDERED,NB_POSLITE_ITEMS_DISPATCHED,
2022-04-10,IE,12201978151,87.1705872,20,1,0,0,0,
2022-05-16,IE,12201978151,147.0391506,43,1,0,0,0,
2022-05-24,IE,12201978151,77.879465,2,1,1,1,1,
2022-01-20,IE,12201978151,52.4044676,8,1,0,0,0,
2022-04-04,GB,12598739708,125.7288926,9,1,0,0,0,
2022-02-21,GB,12598739708,209.1183345,23,2,0,0,0,
2022-02-25,GB,12598739708,59.26789575,14,1,0,0,1,
2022-05-04,ES,19735056861,14.0659156,1,1,0,0,0,
2022-05-23,ES,19735056861,8.6789692,1,0,1,0,0,
2022-02-20,ES,19735056861,1.6596148,0,0,0,1,0,
2022-04-11,unknown,19735056861,9.771349427,2,0,0,0,0,
2022-05-08,ES,19735056861,9.5087766,1,0,0,0,0,
2022-02-06,CH,16736661269,214.6363157,52,1,0,0,0,
2022-02-27,CH,16736661269,387.973585,116,4,0,0,0,
2022-02-23,ES,20499484310,246.1834083,10,3,1,0,0,
2022-01-09,ES,20499484310,219.1123172,66,2,0,0,0,
2022-01-15,ES,,201.5333399,18,2,0,0,1,
2022-04-14,ES,20499484310,131.5941087,24,1,0,0,0,
2022-04-09,ES,20499484310,161.1047193,18,2,0,0,0,
2022-05-30,ES,20499484310,74.23796405,16,1,0,0,0,
2022-03-20,GB,21020541104,698.131645,202,7,0,0,0,
2022-04-27,CH,21178981397,4.5027254,0,0,0,0,0,
2022-05-29,CH,21178981397,243.2423954,73,2,0,0,0,
2022-05-09,CH,21178981397,0,0,0,0,0,0,
2022-05-14,CH,21178981397,3.4144534,0,0,0,0,0,
2022-03-02,CH,391292794,69.3229264,12,1,0,0,0,
2022-01-09,CH,391292794,7.5090768,1,0,0,0,0,
2022-05-09,CH,391292794,18.9359328,3,0,0,0,0,
2022-05-05,GB,120203990006170698,365.5097573,51,4,0,0,0,
2022-03-28,GB,120203990006170698,793.214254,16,8,4,2,0,
2022-04-21,GB,120203990006170698,145.3795358,41,1,0,0,0,
2022-03-15,GB,120203990006170698,663.2201622,20,7,2,1,0,
2022-04-13,GB,120203990006170698,135.1905892,28,1,0,0,0,
2022-05-11,GB,120203990006170698,0,0,0,0,0,0,
2022-05-07,GB,120203990006170698,0,0,0,0,0,0,
2022-04-01,GB,120203990006170698,830.5419809,199,8,0,0,0,
2022-03-05,GB,120203990006170698,278.325564,28,3,0,0,0,
2022-05-27,GB,120207743682210698,0,0,0,0,0,0,
2022-02-03,GB,120203990006170698,400.0487845,104,4,0,0,0,
2022-02-11,CH,20991759296,88.7349782,8,1,0,0,0,
2022-02-08,CH,20991759296,240.8890072,60,2,0,0,0,
2022-02-23,GB,391180926,104.8958133,17,1,0,0,0,
2022-02-18,GB,391180926,91.346831,24,1,0,0,0,
2022-03-21,GB,391180926,223.7623266,25,2,0,0,0,
2022-04-16,GB,21127704718,660.0084131,198,7,0,0,0,
2022-04-06,GB,21127704718,593.0704674,107,6,0,0,0,
2022-02-27,GB,21005578238,0,0,0,0,0,0,
2022-04-18,ES,17300002700,17.3035248,2,0,0,0,0,
2022-03-30,ES,17300002700,12.1886464,2,0,0,0,0,
2022-02-26,GB,120203990416490698,0,0,0,0,0,0,
2022-02-09,GB,20589784451,59.8685634,2,1,0,0,0,
2022-01-28,GB,20589784451,69.5949944,17,1,0,0,0,
2022-01-15,GB,20589784451,142.7812864,24,1,0,0,0,
2022-05-21,GB,20589784451,17.344335,0,0,0,0,0,
2022-01-01,GB,20589784451,111.2894154,4,1,0,0,0,
2022-05-23,GB,391019869,879.6366528,194,9,0,0,0,
2022-01-23,GB,391019869,329.1070562,43,3,0,0,0,
2022-05-08,GB,391019869,866.9310786,9,9,9,9,2,
2022-05-19,GB,6476940146,3051.324174,153,31,6,1,0,
2022-01-05,GB,6476940146,1030.459015,175,10,1,0,0,
2022-03-24,GB,6476940146,1187.522382,48,12,3,1,1,
2022-04-06,GB,6476940146,1427.982517,343,14,1,0,0,
2022-05-21,GB,6476940146,3011.58775,512,30,2,0,0,
2022-04-21,GB,6476940146,1327.784276,385,13,0,0,0,
2022-03-09,GB,6476940146,1238.178451,235,12,1,0,0,
2022-05-28,GB,20774689177,126.8789118,18,1,0,0,0,
2022-04-10,GB,20774689177,38.497622,9,0,0,0,0,
2022-03-26,GB,20774689177,682.4009576,150,7,0,0,0,
2022-04-12,GB,20774689177,26.3089756,3,0,0,0,0,
2022-04-24,GB,20774689177,111.5750868,6,1,0,0,0,
2022-03-27,GB,20774689177,316.6599452,9,3,1,0,0,
2022-02-01,GB,20774689177,15.0725672,3,0,0,0,0,
2022-03-31,CH,13125904745,231.1761796,49,2,0,0,0,
2022-02-21,CH,13125904745,475.4660368,105,5,0,0,0,
2022-05-27,CH,13125904745,349.063244,35,4,0,0,0,
2022-01-31,CH,13125904745,611.9081388,37,6,1,0,0,
2022-02-24,CH,13125904745,343.553867,72,3,0,0,0,
2022-04-15,CH,21151146713,281.451711,65,3,0,0,0,
2022-04-19,IE,16792023515,417.4339324,17,4,1,0,0,
2022-03-23,IE,16792023515,180.3402738,9,2,0,0,0,
